Recipe Title,Category,Ingredients,Instructions,Prep Time,Cook Time,Total Time,Servings
Beef Keema with Yogurt,mains,"['⅓ cup neutral oil', '1 bay leaf', '1 black cardamom', '4 cloves', '½ inch cinnamon stick', '1 large yellow onion thinly sliced in half rings', '1 tablespoon ginger and garlic paste', ""2 to 4 bird's eye chilies or to taste sliced lengthwise"", '½ teaspoon turmeric powder', '1 teaspoon cumin powder', '2 teaspoon coriander powder', '1 teaspoon red chili powder', '1 pound ground beef', '1 ¼ teaspoon salt or to taste', '1 cup full-fat yogurt whisked and brought to room temperature']","['Heat oil in a heavy bottom pot. Once it begins to shimmer, add whole spices (bay leaf, black cardamom, cloves and cinnamon stick) and fry on medium to medium-low heat for 30 seconds or until fragrant.', 'Add onions and sauté until evenly brown for 7 to 12 minutes.', 'Add crushed ginger and garlic and fry for 30 seconds. Take care not to let it burn. Stir in green chilies.', 'Add ground spices (turmeric, coriander, cumin and red chili powder) fry for 1 minute. Deglaze the pan with a splash of water (1 tablespoon at a time) if and as needed.', 'Increase heat to medium to medium high, and add ground beef and salt. Crumble with wooden spatula and fry until no longer pink, about 5 minutes.', ""Add ½ cup room temperature water and bring to a simmer. Lower heat, cover and let the beef cook for 30 minutes. Stir occasionally to make sure it doesn't stick to the bottom of the pan. Once done, remove cover and let it simmer to boil out any excess moisture. Check for salt and adjust as needed."", 'Fold in yogurt and stir continuously on medium-low heat for about 8 to 10 minutes until the oil begins to separate from the keema and you get the desired texture.', 'Remove from heat, place in serving platter and garnish with finely chopped cilantro and chilies. Serve with roti or plain basmati rice.']",5 minutes,1 hour,N/A,4
40-Minute Pakistani Style Hariyali Chicken,mains,"['¾ cup cilantro roughly chopped and tightly packed', '¼ cup mint  tightly packed', ""1-2 bird's eye chilies"", '1 ½ cup full-fat yogurt lightly whisked', '⅓ cup neutral oil  canola/sunflower/vegetable', '1 pound (~450 grams) boneless chicken diced', '1  teaspoon salt or to taste', '2 teaspoon crushed garlic', '2 teaspoon crushed ginger', '2 teaspoon red chili flakes']","['Add cilantro, green chilies, mint and yogurt to a food processor and pulse until well-mixed', 'Heat oil in a medium-sized saucepan or skillet. Add crushed garlic and fry on low heat for roughly 30 seconds or until fragrant.', 'Increase heat to medium. Add diced chicken, salt, crushed ginger and red chili flakes. Sear until no longer pink, roughly 2-5 minutes.', 'Lower heat and add the yogurt mixture. Stir until chicken is well-coated in the masala.', 'Once it comes to a simmer, partially cover the saucepan with a lid, and let the hara masala bubble for roughly 10 minutes.', 'Remove the lid and increase heat to high. Stir continuously to boil out any excess water and until the oil begins to separate from the sauce.']",15 minutes,25 minutes,40 minutes,4
Kali Mirch Chicken (Black Pepper Chicken),mains,"['½ cup neutral oil canola/sunflower/vegetable', '1 teaspoon crushed garlic', '2 pounds (~1 kg) whole chicken cut in small parts', '2 teaspoon salt  or to taste', '1 medium yellow onion thinly sliced in half rings', '2 teaspoon crushed ginger', '1 teaspoon cumin powder', '2 teaspoon coriander powder', '1 tablespoon black pepper', '½ cup full-fat yogurt', '⅛ teaspoon garam masala powder for garnish (optional)', '1- inch ginger julienned for garnish (optional)', ""2 bird's eye chiles thinly sliced for garnish (optional)""]","['Heat oil in a wok or karahi and add crushed garlic. Fry on low heat for 30 seconds or until fragrant.', 'Increase heat to high, and add chicken and salt. Sear until no longer pink.', 'Add crushed ginger, sliced onion and ½ cup of water. Bring to boil, then lower to simmer. Cook uncovered until the chicken is tender and most of the water has evaporated, about 25-30 minutes.', 'Add yogurt, cumin powder, coriander powder and black pepper. Stir continuously on medium heat for about 5-7 minutes or until the chicken is well-coated in spices and the oil begins to separate from the dish.', 'Remove from heat. Garnish with julienned ginger, chili and a pinch of garam masala powder. Serve with roti or naan.']",20 minutes,40 minutes,1 hour,6
Quick Lobia Masala (White Beans with Tomatoes),mains,"['2 tablespoon neutral oil', '½ teaspoon crushed ginger', '½ teaspoon crushed garlic', '1 small yellow or red onion thinly sliced in half rings', '½ teaspoon coriander powder', '2 roma tomatoes roughly chopped', '½ teaspoon salt or to taste', '½ teaspoon red chili flakes', '1 15-ounce can of white beans', 'Juice of ½ lemon', '2 tablespoon diced cilantro']","['Heat oil in saucepan. Add chopped onion and fry on medium-low heat until evenly brown, about 10 minutes.', 'Add crushed ginger and garlic and fry for roughly one minute or until fragrant.', 'Add coriander powder and fry for another minute until fragrant.', 'Increase heat to high, and add chopped tomatoes, salt and red chili flakes. Fry until soft, about 7 - 10 minutes.', 'Add white beans and stir well. Bring down heat to medium, and let the beans simmer in the masala for another 5 minutes.', 'Remove from heat and place in serving bowl. Top with lemon juice and diced cilantro for garnish.']",10 minutes,25 minutes,35 minutes,4
Spicy Aloo Sabzi (Potato Curry),mains,"['⅓ cup neutral oil canola/sunflower/vegetable', '½ teaspoon kalonji (nigella seeds)', '4 (~9 ounces or 250 grams) small onions thinly sliced in half rings', '1 teaspoon crushed ginger', '1 teaspoon crushed garlic', '½ teaspoon turmeric powder', '1 teaspoon coriander powder', '1 teaspoon red chili powder', '1 teaspoon salt or to taste', '2 roma tomatoes roughly chopped', ""1 bird's eye chili  diced"", '3 (~1 pound or 500 grams) potatoes peeled and diced in ¾ to 1-inch cubes', '½ cup cilantro finely chopped', 'Juice of ½ lemon']","['Heat oil. Add kalonji (nigella seeds) and fry for a few seconds until they begin to pop.', 'Add chopped onion and brown on medium-low heat for 5-7 minutes.', 'Add crushed ginger and garlic and fry for 30 seconds or until fragrant.', 'Add ground spices (turmeric, red chili and coriander powder) and fry for 30 seconds – 1 minute until aromatic. Splash with water to deglaze the pan if necessary.', 'Add chili, tomatoes and salt. Fry on high heat to soften the tomatoes, about 5 minutes.', 'Add potatoes and stir well to coat in masala.', 'Add ½ - 1 cup water - just enough to cover the potatoes - and bring to boil. Lower heat and let the masala simmer in uncovered saucepan until potatoes are done. Check for salt and spice, and adjust as necessary.', 'Turn off heat and gently fold in diced cilantro. Top with lemon juice. Place a tight fitting lid on the saucepan and let the potatoes steam for another 5 minutes.']",15 minutes,20 minutes,35 minutes,4
Bilquees's Gobi Gosht (Mutton with Cauliflower),mains,"['1 pound (~500 grams) goat/lamb meat  cut in small pieces', '2½ teaspoon salt  or to taste', '¾ cup neutral oil canola, sunflower or vegetable', '2 small (~3-5 ounces/100-150 grams) yellow or red onions  thinly sliced', '1 teaspoon crushed ginger', '1 teaspoon crushed garlic', '1 bird’s eye chili finely chopped, optional', '3 (~3-5 ounces/100-150 grams) roma tomatoes diced', '1 teaspoon red chili powder']","['Place meat in a colander and rub with 1 teaspoon of salt. Set aside.', 'Heat heavy bottom pot and add ½ cup oil. Once hot, add sliced onion and sauté until evenly brown, roughly 7-10 minutes.', 'Add crushed ginger and garlic, and bird’s eye chili (if using). Stir for roughly 30 seconds to 1 minute until fragrant.', 'Add meat and stir on high heat until no longer pink for about 5-7 minutes.', 'Add tomatoes, red chili powder, ½ teaspoon of salt and whole garam masala (cumin seeds, cloves, peppercorn, green and black cardamom). Stir until well-mixed.', 'Add 2 ½ cups water and bring to boil. Lower to simmer and cover. Cook until the meat is tender about 2 – 2 ½ hours.', 'While the meat is cooking, begin to get the cauliflower ready. In a large wok or frying pan, heat remaining ¼ cup oil. Once hot, add cauliflower, ½ teaspoon of salt, and pepper. Sauté until just slightly brown and evenly cooked, about 5 - 7 minutes.', 'Once the meat is tender, carefully remove the lid and add cauliflower. Increase heat to high, and stir until the cauliflower has absorbed the masala and the oil begins to separate from the spices. Remove from heat.', 'Carefully place gobi gosht into a serving bowl. Garnish with diced cilantro and chilies, and dust with garam masala powder.']",10 minutes,2 hours,2 hours,6
Pakistani Style Easy Chicken Keema (Ground Chicken),mains,"['2 tablespoon neutral oil  canola, sunflower or vegetable', '2 small red or yellow onions  thinly sliced in half rings', '1 teaspoon crushed garlic', '1 teaspoon crushed ginger', '1 bird’s eye chili  finely chopped', '2 cloves', '1 black cardamom pod', '¼ teaspoon turmeric powder', '1 teaspoon red chili powder  preferably Kashmiri red chili powder. Less if using cayenne red pepper.', '1 teaspoon coriander powder', '½ teaspoon cumin powder', '1 pound (~450 grams) ground chicken', '1 teaspoon salt  or to taste', '4 roma tomatoes  roughly chopped', '¼ teaspoon garam masala powder  (optional)', '1 tablespoon cilantro  finely diced (optional)']","['Heat oil in a medium-sized heavy bottom pot. Add chopped onion, and brown on medium-low heat until evenly brown, about 7-10 minutes.', 'Lower heat, and add crushed ginger and garlic. Sauté for 30 seconds to 1 minute until fragrant.', 'Add chopped bird’s eye chili, and sauté for another 30 seconds.', 'Add whole and ground spices, and fry on low heat for roughly 1 minute until fragrant. Add a splash of water to deglaze the pan if necessary.', 'Increase heat to high, and add ground chicken and salt. Crumble with spatula, and fry until no longer pink.', 'Add 1 cup water, and bring to boil. Cover pot with tight fitting lid, and simmer on low heat for roughly 10 minutes.', 'Remove lid, increase heat to high, and add chopped tomatoes. Fry the tomatoes, stirring frequently until the oil begins to separate.', 'Remove from heat, and place in serving bowl. Dust with garam masala powder, and garnish with cilantro if using.']",10 minutes,40 minutes,50 minutes,4
Mommy's Mutton Pulao (Yakhni Pulao),mains,"['3 pounds (~ 1 ½ kilogram) mutton washed, trimmed, and cut in small pieces', '4 medium-sized yellow or red onions thinly sliced in half rings', '2 black cardamom', '4 cloves', '2- inch cinnamon stick', '1 tablespoon cumin seeds', '2 tablespoons crushed garlic', '2 tablespoons salt or to taste', '⅓ cup neutral oil canola/sunflower/vegetable', '3 cups basmati rice washed in several changes of water and preferably soaked overnight']","['Add meat in a large pot of salted water (I add 1 tablespoon of salt at this stage) with black cardamom, cloves, cinnamon stick, cumin seeds, 2 sliced onions, and 1 tablespoon of crushed garlic. Bring to boil, cover pot and simmer on low heat until mutton is tender, about 1 ½ to 2 hours.', 'Once the meat is tenderized, remove the meat with a slotted spoon, and set aside.', 'Strain the bone broth, and set aside.', 'In a large pot, heat oil. Once the oil begins to shimmer, add the remaining sliced onion, and fry for about 15 minutes on medium-low heat or until a deep golden brown.', 'Add crushed garlic, and fry for roughly 30 seconds or until fragrant.', 'Add the mutton, salt, and fry for 8-10 minutes on medium-high heat.', 'Add 6 cups of the strained mutton broth to the pot. Check for salt, and bring to a boil. You can put the leftover of the broth in airtight containers, and freeze for later use.', 'Add rice, and let the water boil out, about 10 minutes.', 'Once the water boils out, wrap lid with a clean kitchen towel and place it securely on the pot. Let rice steam on very low heat for 10 minutes.', 'Place pulao on serving platter and fluff with a fork.']",10 minutes,2 hours,3 hours,6
Moong and Masoor Daal (Instant Pot and Stove Top),mains,"['¾ cup red masoor daal (red lentils)', '¼ cup yellow moong daal (yellow lentils) preferably soaked for 4 hours or more', '1 ½ teaspoon crushed ginger', '1 ½ teaspoon crushed garlic', '8 kadi patta (curry leaves)  optional', '1 small red onion thinly sliced in half rings', '1 roma tomato roughly chopped', '1 teaspoon salt or to taste', '½ teaspoon turmeric powder', '1 teaspoon red chili powder  preferably Kashmiri red chili powder', ""1 bird's eye chili  diced""]","['Wash the masoor and moong daal (red and yellow lentils) until the water runs clear.', 'Add rinsed masoor and moong daal to a stockpot and add 5 cups of water. Bring to a simmer.', ""Add crushed ginger and garlic, kadi patta, onion, tomato, turmeric, and red chili powder, and bird's eye chili."", ""Bring heat to low and cover with tight fitting lid. Let daal cook for 45 minutes to 1 hour. Check for doneness, and salt. If it needs to cook more, add ½ cup hot water, and let it simmer until it's soft.""]",10 minutes,N/A,25 minutes,4
Boneless Chicken Achari,mains,"['¼ cup neutral oil canola/sunflower/vegetable', '¼ teaspoon fenugreek seeds', '¼ teaspoon fennel seeds', '¼ teaspoon nigella seeds', '1 pound (~450 grams) boneless chicken, diced', '1 teaspoon crushed ginger', '1 teaspoon crushed garlic', '1 medium-sized yellow onion thinly sliced in half rings', '1 teaspoon salt  or to taste', '¼ teaspoon turmeric powder', '1 teaspoon red chili powder (preferably Kashmiri red chili powder)', '½ teaspoon cumin powder', '½ teaspoon coriander powder', '4 roma tomatoes crushed', '1 tablespoon full-fat yogurt lightly whisked', '1 tablespoon mixed pickle (optional)']","['In a heavy-bottomed pot, heat oil. Add whole spices (fenugreek seed, fennel seeds and nigella seeds) and fry on medium heat until aromatic.', 'Add sliced onion and continue to fry on medium heat until evenly soft and brown, about 5-7 minutes.', 'Lower heat and add crushed ginger and garlic. Fry for 30 seconds to 1 minute.', 'Add ground spices and fry until they stop smelling raw. Deglaze the pan with a splash of water if needed.', 'Increase heat to high and add crushed tomatoes. Mix well and stir on high heat until the oil begins to separate from the tomato-onion base.', 'Add chicken and sear on high heat until no longer pink.', 'Add ¼ cup water and bring to simmer. Partially cover the pot and let the chicken cook for about 10 minutes.', 'Lower heat and add in whisked yogurt. Mix well.', 'Remove from heat and stir in mixed pickle if using.']",10 minutes,35 minutes,45 minutes,4
Rafia's Pakistani Style Ginger Chicken,mains,"['½ cup neutral oil', '2 medium-sized onions roughly chopped', '2 teaspoon crushed ginger', '1 teaspoon crushed garlic', '2 pounds boneless chicken diced', '1 teaspoon salt or to taste', '1 teaspoon red chili powder', '½ teaspoon turmeric powder', '4 roma tomatoes roughly chopped', '1- inch knob ginger  julienned', ""1 bird's eye chilies  + extra for garnish"", '½ cup full-fat yogurt brought to room temperature']","['Heat oil on medium heat in a non-stick saucepan. Once it begins to shimmer, add chopped onions and fry until soft.', 'Lower heat, and add crused ginger and garlic paste. Fry for roughly 2 minutes, taking care to not burn them.', 'Increase heat to high, and add chicken and ½ teaspoon of the salt. Fry on medium heat for about 10 minutes.', 'Add red chili powder and turmeric powder, and stir for a few seconds until fragrant.', 'Add diced tomatoes, and remainder of the salt. Cook on high heat until the sauce is reduced to a jammy mixture.', 'Add julienned ginger and green chili.', 'Lower heat, stir in the yogurt, and let the chicken cook for an additional 10 minutes.', 'Place in serving bowl and garnish with julienned ginger, cilantro and green chilies.']",30 minutes,1 hour,1 hour,4
Khagina (Scrambled Eggs with Potatoes),mains,"['4 tablespoon neutral oil canola/sunflower/vegetable', '¼ onion (roughly 2 ounce or 57 grams)  roughly diced', '½ teaspoon turmeric powder', '1 teaspoon red chili powder preferably Kashmiri red chili powder', '1 small potato (roughly 4 ounce or 113 grams) thinly sliced', '1 roma tomato (roughly 2 ounce or 57 grams) roughly diced', '½ bird’s eye chili finely chopped', 'Salt to taste', '4 eggs lightly beaten', '½ cup cilantro finely chopped']","['In a nonstick skillet, heat oil. Once it begins to shimmer, add chopped onion and fry on medium heat until translucent, about 5-7 minutes.', 'Add turmeric powder and red chili powder, and fry on medium-low heat until fragrant.', 'Raise heat to medium-high. Add chopped potatoes, tomato and green chili, and begin to fry until the mixture is well-coated in the masala, and potatoes are done, roughly 10 minutes.', 'Lower heat to medium, and add eggs and cilantro. Moving quickly, break the eggs with your spatula as they are setting to form small, soft curds. Remove from heat if necessary to prevent eggs from overcooking.', 'Remove from heat and serve immediately with roti or any bread of your choice.']",10 minutes,20 minutes,30 minutes,4
Ash Reshteh (Afghan Style Noodle Soup),mains,"['½ cup neutral oil canola/sunflower/vegetable', '1 ½\xa0 medium yellow onion cut in half rings', 'Salt to taste', '1 teaspoon red chili powder (preferably Kashmiri red chili powder)', '½ teaspoon turmeric powder', '1 teaspoon cumin powder', '1 teaspoon coriander powder', '4 roma tomatoes', '½ lb. ground beef']","['Begin by preparing the keema. In a saucepan, heat oil and brown onions on medium-low heat for 10 minutes. Add spices listed under keema (red chili powder, turmeric powder, cumin and coriander powder and stir for a few seconds until fragrant. Add a splash of water to deglaze the pan if needed.', 'Add tomatoes and fry on high heat until they soften, about 7 minutes.', 'Add ground beef, salt, approximately ½ cup of water and let it cook on medium to low heat for 45 minutes.', 'To prepare the soup, bring 2 quarts of water to a boil.\xa0Add salt, oil, noodles, mint, dill, chopped spring onion and spinach. Once the broth begins to simmer, add green chilies, red beans and garbanzo beans. After 5 minutes, add the keema prepared earlier, and ginger and garlic powder, and let it simmer on low heat for a couple of minutes.', 'While the beef cooks in the broth, whisk 3 cups of sour yogurt and add a teaspoon of garlic (if using) in a deep serving dish.', 'Once the noodles are done, strain them with a slotted spoon and begin to add them to the yogurt. Top with broth and set aside.', 'Begin to get the tempering ready.\xa0Heat ½ cup of oil and fry crushed garlic and red chili powder for a few seconds. Pour it over the soup. Sprinkle with dried mint.']",30 minutes,1 hour,N/A,8
Easy Boneless Chicken Karahi,mains,"['3 tablespoon neutral oil canola/sunflower/vegetable', '1 tablespoon cumin seeds', '1 teaspoon crushed garlic', '1 teaspoon crushed ginger finely chopped', ""2 bird's eye chili  roughly chopped"", '1 ½ pound (~ 700 grams) boneless chicken preferably chicken thighs, diced', '1 ½ teaspoon salt or to taste', '6 roma tomatoes de-seeded, roughly chopped', '1 tablespoon red chili flakes', '1 teaspoon black pepper', '1 teaspoon garam masala powder', '4 tablespoon finely chopped cilantro', '1 tablespoon full-fat yogurt lightly whisked (optional)']","['Heat oil in a large karahi or wok. When the oil begins to shimmer, add cumin seeds. Fry until fragrant, roughly 30 seconds or less.', 'Lower heat and add crushed garlic, ginger and diced green chilies. Fry until fragrant, roughly 30 seconds or less.', 'Turn the heat up to high, and add chicken and salt. Sear until no longer pink, about 5-10 minutes.', 'Add chopped tomatoes and stir continuously on high heat until jammy, about 10 minutes.', 'Add red chili flakes, black pepper and garam masala powder, and mix well. Check for salt.', 'Let the chicken simmer on high heat until the gravy reduces, about 5 minutes.', 'Lower heat and add cilantro and yogurt. Stir until well-mixed.', 'Remove from heat. Garnish with finely chopped cilantro, green chilies, and ginger.']",30 minutes,45 minutes,1 hour,4
Black-Eyed Peas with Spinach and Dill,mains,"['1 cup black-eyed peas soaked overnight', '4 tablespoon neutral oil canola/sunflower/vegetable', '½ teaspoon cumin seeds', '¼ teaspoon mustard seeds', '2 teaspoon crushed garlic', '10 kadi patta (curry leaves)', '1 bird’s eye chili finely chopped', '8 ounces (226 grams) spinach roughly diced', '1 cup dill finely chopped', '1 teaspoon red chili flakes', '1 teaspoon salt or to taste', 'Zest of ½ lemon', 'Juice of ½ lemon']","['Add black-eyed peas to stockpot. Add 4-5 cups water, and salt to taste. Bring to boil, and let peas simmer until soft. Drain water, and set peas aside in the same pot.', 'In a separate wok or large frying pan, heat oil. Add cumin seeds and mustard seeds. When they begin to pop, add the crushed garlic, kadi pata, and chopped chili.', 'Fry for roughly 30 seconds on medium low heat. Begin to add chopped spinach in batches, folding it in with the spices. Add chopped dill. Increase heat to medium, and continue to fry until the spinach begins to wilt.', 'Pour over the spinach and dill mixture into the pot of black-eyed peas. Add 1 cup water, red chili flakes, and salt. Bring to boil. Lower to simmer, cover with tight fitting lid, and let it cook for roughly 10 minutes.', 'Once done, top with lemon juice and lemon zest. Garnish with fresh dill and finely chopped chili, and serve with paratha or roti.']",1 hour,30 minutes,1 hour,4
Palak Gosht (Mutton Curry with Spinach),mains,"['1 lb. mutton with bone chopped in small pieces', '1 ½ teaspoon salt or to taste', '4 tablespoon oil (canola/sunflower/vegetable)', '1 medium-sized yellow onion sliced in half rings', '1 teaspoon crushed ginger', '1 teaspoon crushed garlic', '1 bird’s eye chili diced (optional)', '1 ½ teaspoon cayenne red powder', '2 teaspoon coriander powder', '½ teaspoon turmeric powder', '4 roma tomatoes roughly chopped', '1 lb. leafy spinach roughly diced']","['Rub 1 teaspoon salt on to the mutton pieces. Set aside.', 'Heat oil in a stockpot. When hot, add chopped onions, and fry on medium heat until soft and translucent, about 7-10 minutes.', 'Add crushed ginger and garlic, and fry for roughly 30 seconds.', 'Add green chili (if using) and ground spices, and fry for roughly 1 minute until fragrant. Deglaze the pot with a splash of water if needed.', 'Add diced tomatoes, and the remainder of the salt. Fry tomatoes on high heat until soft, about 5-7 minutes.', 'Add chopped mutton, and continue to fry on high heat for 15-20 minutes.', 'Add roughly 3 cups water (just enough for the meat to be completely submerged) and cover with a tight fitting lid. Bring to simmer, and let the curry cook on medium-low heat for 1 ½ hour.', 'Lift cover and fold in diced spinach. Partially cover the stockpot, and let it simmer for another 30 minutes.', 'Check for salt, and adjust as needed. If there is still excess liquid, remove lid and increase heat to high to boil out some of the water.', 'Serve with roti, plain basmati rice or a vegetarian pulao of your choice.']",20 minutes,2 hours,3 hours,4
Instant Pot Khatti Moong Daal,mains,"['1 ounce fresh tamarind', '1 cup yellow moong daal (yellow lentils) rinsed well and preferably soaked overnight', '1 tablespoon crushed garlic', '¾ teaspoon salt or to taste', '1 teaspoon red chili powder', '½ teaspoon turmeric powder']","['Place tamarind in a heatproof bowl and add 1 cup of hot water. Set aside.', 'Add lentils, crushed garlic, salt, red chili and turmeric powder and 3 cups water to the Instant Pot. Turn Instant Pot on. Close the lid and move the steam valve to sealing. On manual setting, set the cooking time to 10 minutes at high pressure.', 'While the daal is cooking, begin to squeeze the tamarind pulp well separating the paste from the fibers. When the pulp is fully separated from the seeds, strain the tamarind water into a clean bowl.', 'Once the timer is up, move the steam valve to venting position to immediately release steam. After the pressure has released, carefully remove the lid, making sure you are not touching the metallic part. Add the tamarind water to the daal and stir till well-mixed. Turn Instant Pot off.', 'Place the daal in serving bowl and begin to get the tadka ready. In a small frying pan, add oil and heat until it begins to shimmer. Add the dried red chilies and fry for a few seconds. Add cumin seeds and fry for 30 seconds or less until they begin to change color. Add kadi pata and fry for a few seconds until aromatic. Remove from heat and pour tadka over the daal. Serve with plain long-grain rice.']",N/A,15 minutes,N/A,6
Hina's Frontier Style Fried Fish,mains,"['1 ½ pound fish fillet, preferably freshwater trout  cleaned and sliced in 4 pieces lengthwise', '1 tsp  salt or to taste', '2 teaspoon red chili powder', '¾ cup oil or as needed canola, vegetable or sunflower']","['Pat your fish fillet dry with a paper towel. Generously season it with salt and red chili powder and set aside to marinade for 15 minutes.', 'In a deep saucepan or wok, heat oil. When hot, carefully place the fish fillet in the wok with a slotted spoon and fry each side for about two minutes or until golden brown.', 'Drain on paper towels or newspaper.', 'Serve with naan and lime or lemon wedges.']",20 minutes,10 minutes,30 minutes,4
Slow Cooker Dum Kay Pasanday (Masala-Rubbed Beef),mains,"['1 teaspoon black peppercorn', '1 ½ teaspoon coriander seeds', '1  teaspoon cumin seeds', '1 teaspoon mustard seeds', '½ teaspoon whole cloves', '½ teaspoon fennel seeds', '4 green cardamom pods', '1 inch cinnamon stick broken into small pieces', '5 dried red chilies']","['Toast spices in a dry skillet on medium-low heat for 3 - 5 minutes, stirring occasionally until mustard seeds begin to pop. Cool completely and then grind into a powder using a spice or coffee grinder.', 'In a large platter, mix the beef, salt, yogurt, lemon juice, ginger and garlic paste and spice mix. Marinate for 2 hours, or more.', 'Heat oil in a large non-stick skillet over medium heat. Add chopped onion and fry until caramelized, about 10 minutes.', 'Add the marinated beef and cook on high heat till the meat is no longer pink, 5-7 minutes.', 'Remove from stove. Place in Crock-Pot or any slow cooker, add 1 cup water. Cook on low heat for 6 hours or high heat for 3 hours. Serve warm.']",10 minutes,3 hours,5 hours,6
Anita's Bhuna Gosht (Stewed Meat),mains,"['4 tablespoon oil canola/vegetable oil', '1 large onion thinly sliced in half rings', '4 tablespoon crushed tomatoes', '2.2 lbs beef stewing cubes cut in 1-2 inch pieces', '1 cup full-fat yogurt', '1 ½ salt to taste or to taste', '½ teaspoon red chili powder', '2 teaspoon garam masala powder', '2 teaspoon cumin powder', '4 garlic cloves crushed']","['Lightly whisk the yogurt and stir in the ground spices, salt and crushed garlic.', 'Coat the meat in the marinade, and leave in the fridge for 2 hours or more.', 'Heat oil in a stockpot on medium-low heat. Sauté the onion for about 7-10 minutes till it softens.', 'Raise heat to medium-high and add the marinated meat. Fry till brown, about 5 minutes.', 'Add the tomatoes, give it a quick stir and add 1 ½ cup water. Bring to boil and cover with tight fitting lid.', 'Dial heat to low, and let it cook for 2 hours while stirring occasionally. Add more water as necessary.', 'Once the meat is tender, it’s ready to serve. Garnish will finely chopped cilantro and green chilies.']",15 minutes,2 hours,4 hours,4
Bohra Style Keema Khichdi (Ground Meat and Lentil Rice),mains,"['1 cup basmati rice washed and soaked overnight', '1 cup split moong daal washed and soaked overnight', '1 teaspoon salt  or to taste']",['Preheat oven to 350°F.'],10 minutes,1 minute,1 hour,6
Bhindi Masala (Okra Masala),mains,"['½ cup oil canola/vegetable/sunflower', '1 pound  okra thinly sliced crosswise', '1 medium-sized onion thinly sliced in half rings', '1 teaspoon crushed ginger', '1 teaspoon crushed garlic', '1 teaspoon red chili powder preferably Kashmiri', '½ teaspoon turmeric powder', '½ teaspoon cumin powder', '4 roma tomatoes roughly diced', 'Salt to taste', '¼ teaspoon garam masala powder for dusting']","['Heat oil. Fry okra on medium heat until it stops being sticky, about 10 minutes. Remove from heat. Remove okra with a slotted spoon and drain on paper towel.', 'Reheat oil and add onion. Fry on medium-low heat until translucent and soft, about 7 minutes.', 'Add ginger and garlic paste, and fry 30 seconds – 1 minute.', 'Add ground spices (red chili, turmeric and cumin powder), and fry 30 seconds – 1 minute until aromatic. Add a splash of water to deglaze the pan if needed.', 'Add tomatoes and fry on high heat for about 5 minutes until they begin to soften and break down. Add salt.', 'Once the masala is ready, add fried okra and stir gently on medium-low heat until well-mixed, about 2-3 minutes.', 'Place in serving dish and dust with garam masala powder.']",30 minutes,30 minutes,1 hour,4
Sohaib's Kadhi Pakora (Yogurt Curry with Fritters),mains,"['1 ½ cup besan gram flour', '½ teaspoon red chili powder', '½ teaspoon salt or to taste', '½ teaspoon coriander seeds toasted and ground', '¼ teaspoon baking soda', '1 small red onion diced', '4 green chilies  finely chopped', '½ cup oil canola/vegetable/sunflower']","[""To get started on the pakoras, mix in 1 ½ cup besan (gram flour), ½ teaspoon red chili powder, salt, coriander seeds, and baking soda. Slowly add roughly ⅔ cup water, gradually folding it in with the dry ingredients with a spoon. You don't want the batter to get too watery. Let it sit for 10 minutes."", ""Fold the chopped red onion and green chilies in with the batter. Check to see if the batter is thick enough to hold them. If it's too watery, add more flour."", ""Heat a small saucepan. Add ½ cup of oil. Once hot, take individual tablespoons of the batter and place inside the pan. Make sure you don't overcrowd the pan - fry in batches if needed. The pakoras should float up. If they do not, let the oil heat for a few seconds more. Move the pakoras occasionally to make sure they are not sticking. Flip when the side becomes golden brown. Drain on paper towel."", 'For the kadhi batter, add the yogurt, ½ cup besan (gram flour), red chili powder, turmeric powder and 6 cups of water to a blender. Blend until smooth.', 'Heat ¼ cup oil in a large pot. Add the fenugreek seeds.', 'When they start popping, add the chopped onion and fry on medium heat till translucent, about 5 minutes.', 'Add crushed ginger and garlic, and fry for 30 seconds.', 'If using, add diced tomato. Increase heat and continue to stir till the tomato softens. This step is optional.', 'Once the tomato breaks down and becomes paste-like, add in the kadhi batter. While stirring constantly, bring the kadhi to a boil. This prevents the yogurt from curdling. Lower heat and let the kadhi simmer for roughly 20 minutes, uncovered.', 'Add salt.', 'Add the pakoras to the kadhi, and let it simmer for another 10 minutes. Remove from heat.', 'When the kadhi is about done, start getting the tadka ready. Heat 2 tablespoon oil in a non-stick pan. Add cumin seeds and fry on medium heat until the color darkens slightly. Add the kadi pata, stir for a few seconds, and then add the chilies. Stir for a few seconds till they change color slightly. Remove from heat.', 'Pour the tadka with the oil on top of the kadhi, and serve with rice.']",30 minutes,1 hour,2 hours,6
